date,open,close,high,low,volume
2022-11-29,3096.110,3149.750,3152.000,3096.110,391449748.000
2022-11-30,3141.400,3151.340,3158.570,3137.370,372718321.000
2022-12-01,3187.990,3165.470,3198.410,3164.530,387013056.000
2022-12-02,3160.580,3156.140,3170.900,3149.840,307812484.000
2022-12-05,3181.920,3211.810,3213.440,3177.060,447398437.000
2022-12-06,3200.280,3212.530,3224.820,3195.080,373590296.000
2022-12-07,3204.940,3199.620,3226.080,3188.670,354113078.000
2022-12-08,3196.020,3197.350,3206.720,3187.260,320969294.000
2022-12-09,3197.120,3206.950,3212.110,3182.910,373343209.000
2022-12-12,3195.870,3179.040,3196.720,3176.580,333381792.000
2022-12-13,3179.440,3176.330,3187.200,3171.480,285821200.000
2022-12-14,3178.550,3176.530,3189.840,3168.590,265623569.000
2022-12-15,3177.200,3168.650,3179.100,3158.450,243023333.000
2022-12-16,3156.130,3167.860,3175.350,3151.610,259771795.000
2022-12-19,3165.310,3107.120,3170.260,3096.100,278513541.000
2022-12-20,3098.950,3073.770,3100.750,3061.510,218836766.000
2022-12-21,3078.330,3068.410,3085.800,3060.550,189067920.000
2022-12-22,3085.800,3054.430,3096.240,3044.600,223639537.000
2022-12-23,3038.840,3045.870,3061.870,3031.540,192020305.000
2022-12-26,3048.200,3065.560,3071.840,3047.350,206503893.000
2022-12-27,3077.750,3095.570,3098.080,3074.310,222218322.000
2022-12-28,3088.620,3087.400,3098.650,3079.430,224554151.000
2022-12-29,3076.730,3073.700,3086.000,3064.460,215570676.000
2022-12-30,3084.520,3089.260,3096.310,3082.200,217545344.000
2023-01-03,3087.510,3116.510,3119.860,3073.050,281370362.000
2023-01-04,3117.570,3123.520,3129.090,3109.450,273313626.000
2023-01-05,3132.760,3155.220,3159.430,3130.230,257003018.000
2023-01-06,3155.070,3157.640,3170.740,3151.840,257380255.000
2023-01-09,3169.370,3176.080,3183.580,3165.430,258115218.000
2023-01-10,3178.020,3169.510,3178.160,3165.140,232984175.000
2023-01-11,3172.380,3161.840,3184.760,3160.890,237742869.000
2023-01-12,3167.270,3163.450,3171.590,3153.400,216671305.000
2023-01-13,3170.350,3195.310,3195.310,3167.510,220226897.000
2023-01-16,3198.520,3227.590,3251.370,3197.320,306749549.000
2023-01-17,3229.440,3224.240,3231.260,3211.760,226592230.000
2023-01-18,3227.590,3224.410,3234.820,3220.370,212109730.000
2023-01-19,3221.520,3240.280,3240.280,3210.380,226465030.000
2023-01-20,3247.200,3264.810,3267.060,3247.200,273219182.000
2023-01-30,3308.870,3269.320,3310.490,3266.760,353325829.000
2023-01-31,3266.140,3255.670,3277.250,3252.010,300162957.000
2023-02-01,3262.200,3284.920,3284.920,3245.410,339509410.000
2023-02-02,3291.780,3285.670,3295.760,3272.410,333413133.000
2023-02-03,3275.660,3263.410,3275.660,3235.350,293342814.000
2023-02-06,3244.700,3238.700,3250.350,3226.210,267053107.000
